ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
30,2515,CALAMAR,ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,Carreto - Calamar,ConcesiOn Montes de Maria,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,,,,,10.208126788,-74.944995464,BolIvar,13
31,90A01,MARAHUACO,ConcesiOn ANI,11300,17200,12300,21800,68700,91800,101900,0,0,Cartagena - Lomita Arena,Consorcio vIa al mar,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,,,,10.574535056,-75.450559224,BolIvar,13
32,90A01,PAPIROS,ConcesiOn ANI,4800,5700,11400,20200,63600,85000,94400,0,0,Cartagena - Lomita Arena,Consorcio vIa al mar,0,0,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,6 Ejes,,,,11.0126997269999,-74.889588094,AtlAntico, 8
33,90A01,PUERTO COLOMBIA,ConcesiOn ANI,11300,17200,12300,21800,68700,91800,101900,0,0,Cartagena - Lomita Arena,Consorcio vIa al mar,0,0,AutomOviles y camperos,Camiones y buses 2 ejes Pequenos,Camiones y buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,,,,10.9675632479999,-74.956105457,AtlAntico, 8
"34,2513,LA APARTADA,ConcesiOn ANI,12600,18600,18600,18600,33600,53600,61800,0,0,Caucasia - Planeta Rica,ConcesiOn Ruta al Mar,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes,,,8.03128060599999,-75.3017196299999,COrdoba,23"
"35,2513,LOS MANGUITOS,ConcesiOn ANI,12600,18600,18600,18600,33600,53600,61800,0,0,Caucasia - Planeta Rica,ConcesiOn Ruta al Mar,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes,,,8.301572194,-75.530098748,COrdoba,23"
36,2513,PURGATORIO,ConcesiOn ANI,12600,18600,18600,18600,33600,53600,61800,0,0,Caucasia - Planeta Rica,VIas las AmEricas S.A.S,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,CategorIa VI,CategorIa VII,,,8.63065942499999,-75.763769549,COrdoba,23
37,2508,SAN CLEMENTE,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,CauyA - La Felisa,INVIAS,8400,8100,AutomOviles y camperos,Camiones y buses de 2 ejes pequenos,Camiones y buses de 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,5.332438494,-75.775603278,Risaralda,66
"38,2103,MATA DE CAnA,ConcesiOn ANI,12300,18200,18200,18200,19500,28300,28400,0,0,CeretE - Lorica,ConcesiOn Ruta al Mar,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes,,,9.09142566699999,-75.819879481,COrdoba,23"
39,29CL03,SANT'AGUEDA,ConcesiOn ANI,10400,12600,12600,12600,30700,38400,44600,0,0,ChinchinA - La Manuela,CONCESION AUTOPISTAS DEL CAFE,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6  Ejes,CategorIa VII,,,5.048648256,-75.598820273,Caldas,17
