No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje, 2016Ene , 2016Feb , 2016Mar , 2016Abr , 2016May , 2016Jun , 2016Jul , 2016Ago , 2016Sep , 2016Oct , 2016Nov , 2016Dic , 2017Ene , 2017Feb , 2017Mar , 2017Abr , 2017May , 2017Jun , 2017Jul , 2017Ago , 2017Sep , 2017Oct , 2017Nov , 2017Dic , 2018Ene , 2018Feb , 2018Mar , 2018Abr , 2018May , 2018Jun , 2018Jul , 2018Ago , 2018Sept , 2018Oct , 2018Nov , 2018Dic 
12,BV,BOGOTA - VILLAVICENCIO,NARANJAL,393792,274556,330945,266336,294629,293574,308578,297455,274606,319896,300527,358023,12028.2580645161,8923.82142857143,9350.77419354839,10506.7333333333,8937.38709677419,9376.66666666667,9237.12903225806,9898.74193548387,8936.7,10170.935483871,9863.73333333333,12046.3548387097,371073,220522,307081,269005,251936,293282,281950,234460,225968,291074,285413,355037
13,BV,BOGOTA - VILLAVICENCIO,PIPIRAL,383422,263307,319108,253478,281955,282980,300970,287844,266136,314772,296512,354844,11952.064516129,8850.46428571429,9281.09677419355,10487.9333333333,8905.06451612903,9310.23333333333,9132.45161290323,9835.16129032258,8876.2,10130.6451612903,9855.86666666667,12053.8064516129,372908,223727,310837,273412,255888,295927,283925,238006,232825,298317,293347,361040
14,CB,CARTAGENA-BARRANQUILLA,MARAHUACO,150624,116039,130521,105685,115154,117870,133283,122998,111392,121392,114890,132956,4789.41935483871,4116.96428571429,3702.29032258065,4026.06666666667,3365.51612903226,3857.7,4039.83870967742,3766.54838709677,3789.33333333333,4145.93548387097,3848.5,4490.48387096774,152528,119145,136019,117994,111282,120184,135429,129188,114964,127497,125773,154819
15,CB,CARTAGENA-BARRANQUILLA,PAPIROS,40298,42069,42931,45849,47031,37946,32533,37712,38920,29337,27283,27521,1061.74193548387,1015.71428571429,1115.54838709677,1074.96666666667,1241.1935483871,1168.46666666667,1044.16129032258,1319.41935483871,1523.8,1530.22580645161,1760.03333333333,1513.25806451613,48567,44770,50705,56273,56995,44371,134189,54368,55416,55238,54656,51989
16,CB,CARTAGENA-BARRANQUILLA,PUERTO COLOMBIA,224862,161503,193958,149624,170995,168219,198028,173502,154640,170667,159063,189124,6963.41935483871,5703.57142857143,5217.16129032258,5978.9,4869.74193548387,5664.93333333333,5912.22580645161,5438.22580645161,5220.66666666667,5787.32258064516,5592.73333333333,6509.48387096774,214778,159335,191824,157748,154361,176143,201883,184915,163986,179552,181665,220649
17,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTA,ANDES,1036048,1001589,1058358,1025509,1066629,1039355,1047928,1103631,1076323,1119480,1094885,1247473,34749,35589.0714285714,35253.1290322581,35576.5666666667,35533.8387096774,36571.9333333333,36150.064516129,36997.5806451613,36328,36492.6774193548,37311.6,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTA,FUSCA,85477,96283,99700,104633,108070,96278,89580,104129,108411,104041,105452,107204,2772.22580645161,3661.17857142857,3752.1935483871,3311.63333333333,3356.29032258065,3109.96666666667,2870.54838709677,3383.67741935484,3263.3,3151.1935483871,3330.76666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTA,UNISABANA,6918,7898,8454,7808,7005,6104,6307,8184,5835,6378,7062,7393,207.838709677419,233.071428571429,211.41935483871,205.233333333333,222.677419354839,224.766666666667,219.645161290323,225.645161290323,230.333333333333,230.354838709677,238.9,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLIN,COCORNA,180523,108380,142183,106275,120986,123520,123667,137984,118759,143992,141380,176893,5824.67741935484,4138.46428571429,4107.77419354839,4912.6,4247.32258064516,4994.03333333333,4925.58064516129,4874.83870967742,4285.83333333333,4768.61290322581,4838.73333333333,6047.12903225806,199901,121191,154535,133044,128955,151143,157154,153711,0,0,0,0
21,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLIN,GUARNE,679452,531865,608554,536188,596588,588643,597034,634257,579692,546704,497690,600295,7080.12903225806,18141.4285714286,18138.7419354839,19516.4,18868.5483870968,19970.2666666667,20633.0322580645,20129.4838709677,18970.7333333333,19466.5483870968,20216.8,22774.7096774194,691087,549527,639142,588284,602788,647580,674174,674263,621268,651998,647119,764383
22,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLIN,LAS PALMAS,276928,262642,282694,265708,286889,277802,293479,292965,281103,298662,300545,338457,10999.7741935484,9743.32142857143,9420.96774193548,9586.76666666667,9592.58064516129,9696.16666666667,9832.51612903226,9852.06451612903,9488,9584.96774193548,9979.5,10823.5806451613,297229,277374,310213,302718,309656,308317,320236,335476,320596,316377,323582,354137
23,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLIN,PTO TRIUNFO,157971,92581,126686,92112,102676,106902,107472,117410,98061,114767,112728,146006,4978.51612903226,3314.75,3283.09677419355,4053.2,3318.87096774194,3999.86666666667,3900.12903225806,3881.35483870968,3449.73333333333,3920.16129032258,3889.03333333333,5130.93548387097,169702,99549,126966,110771,106053,122674,128324,127456,0,0,0,0
24,FFA,FONTIBoN - FACATATIVA - LOS ALPES,CORZO,298387,264622,282953,270446,288836,279452,288443,299599,288888,301450,289426,307317,9976.83870967742,9645.67857142857,9505.58064516129,9589.6,9711.64516129032,9688.33333333333,9967.96774193548,9772.96774193548,9449.56666666667,9641.35483870968,9624.03333333333,9937.74193548387,309681,267127,296647,273396,294099,288437,308166,303272,293726,304566,292525,314172
25,FFA,FONTIBoN - FACATATIVA - LOS ALPES,RIO BOGOTA,714286,711530,740442,735962,760224,739632,750798,770933,746908,767333,743670,813290,23510.4838709677,24794.6785714286,25076.4193548387,25070.5333333333,25069.0322580645,25317.3666666667,25377.7741935484,25361.5161290323,24977.7333333333,25218.8709677419,25709.3333333333,27339.9032258065,743777,708900,792520,728417,804820,796714,799442,819476,791831,817909,797097,883196
26,MVM,MALLA VIAL DEL META,IRACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MVM,MALLA VIAL DEL META,LA LIBERTAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,MVM,MALLA VIAL DEL META,OCOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,MVM,MALLA VIAL DEL META,PUENTE AMARILLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,MVM,MALLA VIAL DEL META,VERACRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NEG,NEIVA - ESPINAL - GIRARDOT,EL PATA,0,0,0,0,0,41298,122051,110620,97886,115023,109246,139593,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,NEG,NEIVA - ESPINAL - GIRARDOT,FLANDES,0,0,0,0,0,55020,159841,150264,138367,158030,152202,182920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,NEG,NEIVA - ESPINAL - GIRARDOT,NEIVA,0,0,0,0,0,64054,208313,175043,156165,183619,171610,218517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SMP,SANTA MARTA-RIOHACHA-PARAGUACHoN,ALTO PINO,78230,68291,77989,71805,83063,77763,79065,75793,74170,78084,83090,96055,2743.45161290323,2692.10714285714,2794.22580645161,2772.76666666667,3078.90322580645,2927.93333333333,3047.93548387097,3061.45161290323,3089.73333333333,3072.54838709677,2987.73333333333,3591.41935483871,181820,130604,154935,143557,145362,149184,156102,153731,140036,149186,142114,164997
35,SMP,SANTA MARTA-RIOHACHA-PARAGUACHoN,EL EBANAL,76405,59804,72422,59611,58418,64022,72289,68281,66594,71597,69316,78334,2673.58064516129,2279.07142857143,2185.51612903226,2448.4,2095.32258064516,2330.26666666667,2394.54838709677,2283.45161290323,2263.26666666667,2378.74193548387,2335.76666666667,2701.83870967742,87311,65127,80070,71488,68998,72526,80554,75638,70850,73013,70929,86845
